LN10088	DS17885	CD8
LN10089	DS17212	CD4
LN10113	DS20786	fKidney
LN10114	DS21048	fMuscle_back
LN10157	DS20988	fKidney
LN20355	DS22648	Namalwa + Sendai virus_2h
LN20368	DS22816	Namalwa_0
LN20369	DS22823	Namalwa + Sendai virus_2h
LN20386	DS22985	MCF10a_ER_SRC_24h_Tam
LN20387	DS22991	MCF10a_ER_SRC_control
LN20400	DS22919	RPMI_8226
LN20410	DS23107	NCI_H460
LN20411A	DS23114A	NCI_H460
LN20412	DS23117	SJCRH30
LN20413A	DS23123A	SJCRH30
LN20414	DS23131	SK_MEL_5
LN20415	DS23137	SK_MEL_5
LN20423	DS23179	fRetina
LN20434	DS23286	fRetina
LN20451	DS23341	fRetina
LN20458A	DS23368A	fRetina
LN20459	DS23373	ELF_1
LN20460	DS23378	ELF_1
LN20478	DS23466	HT_1080
LN20479	DS23472	HT_1080
LN20483	DS23530	KBM7
LN20484	DS23535	KBM7
LN20488	DS23541	Brain_hippocampus
LN20489	DS23545	Brain_Cerebellar_Cortex
LN20490	DS23553	EH
LN20491	DS23559	EH
LN20496	DS22980	MCF10a_ER_SRC_6h_Tam/Washout 18 h
LN20509A	DS23661A	Cerebellar_Cortex
LN20614A	DS23813A	fBrain
LN20656A	DS23833A	fEye
LN20660A	DS23825A	EL
LN20662A	DS23819A	EL
LN20666A	DS23951A	Brain_Globus_Pallidus
LN20668A	DS23947A	Globus_Pallidus
LN20738C	DS23983C	fLung
LN20836A	DS24211A	Caki2
LN20837A	DS24205A	Caki2
LN20838A	DS24241A	SJSA1
LN20839A	DS24235A	SJSA1
LN20841A	DS21924A	fKidney
LN20842A	DS21928A	fKidney_L
LN20861A	DS24044A	CD34_T0
LN20866A	DS24094A	CD34_T8
LN20867A	DS24154A	G401
LN20912A	DS24360A	fLung
LN20963A	DS24547A	ACHN
LN20969A	DS24571A	Brain_Putamen
LN20970A	DS24567A	Daoy
LN21023A	DS24561A	Daoy
LN21049A	DS24190A	CD34_T15
LN21068A	DS24640A	MG63
LN21069A	DS24634A	MG63
LN21133A	DS24711A	fBrain
LN21141A	DS24930A	H4
LN21202A	DS24733A	fStomach
LN21203A	DS24731A	fHeart
LN21204A	DS24728A	fEye
LN21205A	DS24726A	fLung
LN21207A	DS24722A	fUmbilical_cord
LN21208A	DS24796A	fEye
LN21209A	DS24790A	HeLaS3
LN21218A	DS24785A	HeLaS3
LN21221A	DS24775A	fBrain
LN21224A	DS24744A	A172
LN21225A	DS24719A	A172
LN21286A	DS24845A	HepG2
LN21287A	DS24838A	HepG2
LN21288A	DS24835A	fTongue
LN21289A	DS24833A	fSpinal_cord
LN21290A	DS24808A	fTongue
LN21292A	DS24888A	fTongue
LN21323A	DS24872A	fBrain
LN21363A	DS25067A	L1S8
LN21364A	DS25072A	L1S8
LN21365A	DS25119A	HT29
LN21379A	DS24228A	CD34_T17
LN21381A	DS24074A	CD34_T4
LN21382A	DS24222A	CD34_T17
LN21648C	DS25129C	PC3
LN21650C	DS24015C	AL
LN26240A	DS25687A	CD34_T4
LN26258A	DS25769A	CD34_T8
LN26259A	DS25762A	CD34_T8
LN26263A	DS25729A	CD34_T6
LN26288A	DS25730A	CD34_T6
LN26316A	DS25969A	CD34_T18
LN26368A	DS26113A	PGP1_fibroblast
LN26379A	DS26351A	PGP1_iPSC
LN26381A	DS26347A	PGP1_fibroblast
LN26394A	DS26318A	ELR
LN26395A	DS26313A	ELR
LN26445A	DS26444A	CD34_T0
LN26455A	DS26410A	AL
LN26496A	DS26455A	PGP1_iPSC
LN26591A	DS26986A	bipolar_neuron
LN26594A	DS26980A	bipolar_neuron
LN26744A	DS27166A	PC9
LN26745A	DS27163A	PC9
LN26797A	DS27522A	MM_1S
LN26812E	DS23853E	fHeart
LN26813E	DS23339E	fRetina
LN26814E	DS23873E	fKidney
LN26820A	DS24471A	ACHN
LN26826A	DS21935A	NCI_H226
LN26836A	DS27648A	Karpas_422
LN26838A	DS27641A	Karpas_422
LN26852A	DS27667A	A673
LN26856A	DS27687A	Oci_Ly_7
LN26874A	DS27751A	A673
LN26921A	DS24709A	fKidney
LN26937A	DS26693A	renal_cell_carcinoma
LN26948A	DS24812A	fHeart
LN26949A	DS24799A	fHeart
LN26972B	DS26692B	renal_cell_carcinoma
LN26974	DS26685	podocytes
LN27029A	DS24886A	fSpinal_cord
LN27272A	DS28617A	Brain_Mid_Frontal_Gyrus
LN27452C	DS21975C	NCI_H226
LN28035C	DS29219C	Oci_Ly_7
LN28076A	DS30587A	Trophoblast
LN28078A	DS30582A	Trophoblast
LN28110A	DS30557A	Trophoblast
LN28443A	DS31397A	Trophoblast
LN28530A	DS31642A	Dendritic_cells_C51
LN28558C	DS25027C	PC3
LN28562C	DS22913C	RPMI_8226
LN28669A	DS32096A	neuronal
LN28703C	DS25113C	HT29
LN28707C	DS23849C	fBrain
LN28708C	DS24147C	G401
LN28762A	DS32047A	neuronal
LN28844A	DS32566A	RuES2_cms
LN29143A	DS32057A	hepatocytes
LN29654	DS27824	kidney_tubular
LN29816A	DS34646A	HT29
LN29819A	DS34628A	LoVo
LN29827A	DS34574A	CEC
LN30023A	DS34890A	H9_AzH_G2M
LN30025A	DS34885A	H9_AzL_S
LN30027A	DS34872A	H9_DN3_early
LN30029A	DS34866A	H9_KO2_late
LN30433A	DS35823A	Dendritic_cells_C190
LN30439A	DS35787A	Trophoblast
LN30931S	DS35782S	Trophoblast
LN30990	DS37199	786_O
LN31351	DS37974	renal_cell_carcinoma
LN31352	DS37973	renal_cell_carcinoma
LN31354	DS37971	kidney_tubular
LN31356	DS37969	kidney_tubular
LN31423S	DS35778S	Trophoblast
LN31427S	DS37102S	fPlacenta
LN31456A	DS37250A	RuES2_cms
LN31482A	DS37455A	fRightVentricle
LN31484A	DS37450A	fLeftVentricle
LN31492A	DS37401A	fHeart
LN31529A	DS37473A	fHeart
LN31530A	DS37460A	fLeftAtrium
LN31650	DS27192	786_O
LN31651	DS26689	kidney_tubular
LN31860S	DS37292S	fLeftVentricle
LN32257A	DS37546A	SW_480
LN32260A	DS37513A	CEC
LN32272	DS39386	glomeruli
LN32479A	DS38592A	SW_480
LN32481A	DS38587A	HT29
LN32934A	DS38790A	fPlacenta
LN33151A	DS39293A	H9_AzL_S
LN33179A	DS39509A	HAP1
LN33181A	DS39502A	HAP1
LN33421	DS40362	RKO
LN34648A	DS39481A	fHeartFibroblasts
LN35453	DS44414	RKO
LN35747A	DS44708A	fLeftVentricle
LN37566	DS7768	HepG2
LN38595	DS7784	GM06990
LN38596	DS7842	hTH2
LN40338H	DS52908H	K562
LN42591A	DS56256A	HK_2
LN42592A	DS56257A	HK_2
LN42987C	DS39598C	H9_hESC
LN42989C	DS39603C	DE
LN43413A	DS55945A	H9_hESC
LN43504A	DS55951A	NPC
LN43606A	DS55923A	DE
LN43610A	DS55938A	ISL1
LN44778B	DS38801B	limb
LN44779B	DS39148B	fPlacenta
LN44780B	DS39408B	fBone_arm_left
LN44781B	DS39410B	fBone_arm_right
LN44782A	DS39413A	fBone_leg_left
LN44783A	DS39417A	fBone_leg_right
LN45031A	DS23388A	fKidney
LN45032A	DS24714A	fKidney
LN45033A	DS24801A	fKidney
LN45034A	DS24806A	fLung
LN45035A	DS24814A	fKidney
LN45036A	DS24820A	fUmbilical_cord
LN45038B	DS36206B	fBone_femur
LN45070C	DS37372C	fLiver
LN45072C	DS37386C	fPlacenta
LN45076C	DS37716C	fPlacenta
